id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
4562880,1953,Coins Lincoln Wheat Penny,592,Ungraded,Normal wear,,,0,2,2026-02-20,,,,
4612444,1962 D,Coins Washington Quarter,6215,Ungraded,Normal wear,,,0,5,2026-03-01,,,,
4563388,1906,Coins Indian Head Penny,1100,Ungraded,Normal wear,,,0,2,2026-02-16,,,,
4619416,1941,Coins Mercury Dime,998,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4612410,1948 D,Coins Washington Quarter,1739,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4562893,1958,Coins Lincoln Wheat Penny,217,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4563384,1902,Coins Indian Head Penny,1306,Ungraded,Normal wear,,,0,2,2026-02-16,,,,
4562797,1927,Coins Lincoln Wheat Penny,7696,Ungraded,Normal wear,,,0,16,2026-02-20,,,,
4612437,1959,Coins Washington Quarter,3182,Ungraded,Normal wear,,,0,2,2026-02-16,,,,
4613528,1966,Coins Kennedy Half Dollar,6762,Ungraded,Normal wear,,,0,6,2026-02-16,,,,
4612445,1963,Coins Washington Quarter,1499,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4563372,1889,Coins Indian Head Penny,449,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4613553,1981 D,Coins Kennedy Half Dollar,295,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4562821,1936,Coins Lincoln Wheat Penny,625,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4612380,1938,Coins Washington Quarter,4032,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4562892,1957 D,Coins Lincoln Wheat Penny,1062,Ungraded,Normal wear,,,0,6,2026-02-20,,,,
4611783,1980 S,Coins Susan B Anthony Dollar,11310,Ungraded,Normal wear,,,0,30,2026-02-16,,,,
4562794,1926,Coins Lincoln Wheat Penny,995,Ungraded,Normal wear,,,0,5,2026-02-20,,,,
4563385,1903,Coins Indian Head Penny,2250,Ungraded,Normal wear,,,0,2,2026-02-16,,,,
4562891,1956 D,Coins Lincoln Wheat Penny,760,Ungraded,Normal wear,,,0,4,2026-02-20,,,,
4613458,1937,Coins Walking Liberty Half Dollar,3081,Ungraded,Normal wear,,,0,1,2026-02-27,,,,
4612377,1937,Coins Washington Quarter,5811,Ungraded,Normal wear,,,0,3,2026-02-28,,,,
4612369,1934,Coins Washington Quarter,1576,Ungraded,Normal wear,,,0,1,2026-02-28,,,,
4612449,1965,Coins Washington Quarter,1350,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4612436,1958 D,Coins Washington Quarter,1428,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4563347,1866,Coins Indian Head Penny,4900,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4612423,1953,Coins Washington Quarter,1999,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4612395,1943 D,Coins Washington Quarter,1655,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4612447,1964,Coins Washington Quarter,37773,Ungraded,Normal wear,,,0,27,2026-02-16,,,,
