Card #,Player/Card,Year/Brand,Qty,Value Each,Total Value
#103/137/148,Mike Cooper / Moses Malone / George Johnson,1980 Topps,1,3.43,3.43
#39,Dana Barros [Members Only],1992 Stadium Club,1,0.25,0.25
#E104,Julius Erving [East],1981 Topps,2,4.59,9.18
#18,Michael Jordan,1989 Collegiate Collection NC,11,3.79,41.69
#124,Gary Payton [Members Only],1992 Stadium Club,1,1.00,1.00
#33,Larry Bird,1992 Stadium Club,1,1.56,1.56
#76/163/230,John Johnson / Bill Cartwright / Dan Issel,1980 Topps,1,1.50,1.50
#191,David Robinson,1992 Stadium Club,1,1.45,1.45
#W106,Kareem Abdul-Jabbar [West],1981 Topps,1,4.99,4.99
#197,Charles Barkley,1992 Stadium Club,1,1.85,1.85
#214,Nick Anderson,1990 Hoops,3,1.29,3.87
#106,Moses Malone,1992 Stadium Club,1,1.24,1.24
#97,Doug Smith [Members Only],1992 Stadium Club,1,2.99,2.99
#63,Robert Parish,1992 Stadium Club,1,1.85,1.85
#200,1982 NCAA Champs,1989 Collegiate Collection NC,18,67.51,1215.18
#11,Shaquille O'Neal,1992 Classic Card Show Promo,1,0,0
#11,Chris Mullin [Members Only],1992 Stadium Club,1,0.80,0.80
#65,Michael Jordan,1989 Collegiate Collection NC,11,29.99,329.89
#270,Earvin Johnson,1989 Hoops,3,1.26,3.78
#72/119/249,Mickey Johnson / Dan Issel / Mitch Kupchak,1980 Topps,1,1.84,1.84
#293,Delaney Rudd,1990 Hoops,1,0.86,0.86
#10/121/222,George McGinnis / Bob Lanier / Bill Walton,1980 Topps,1,3.00,3.00
#90,Maurice Cheeks,1981 Topps,2,3.12,6.24
#80,Wilt Chamberlain,1973 Topps,1,22.99,22.99
#50,Isiah Thomas,1992 Stadium Club,1,1.00,1.00
